Date,Open,High,Low,Close,BuyOrSell
17/01/14,9.33,9.87,9.25,9.78,1
21/01/14,10.09,10.1,10.04,10.04,0
22/01/14,10.05,10.23,10.0,10.15,1
23/01/14,10.11,9.995,10.11,9.995,0
24/01/14,10.13,9.505,10.13,9.505,0
27/01/14,9.61,9.655,9.26,9.26,0
28/01/14,9.5,9.5,8.87,9.035,0
29/01/14,8.67,8.99,8.6,8.89,1
30/01/14,8.92,9.0,8.81,8.81,0
31/01/14,8.63,8.99,8.6,8.92,1
03/02/14,8.68,8.82,8.64,8.72,1
04/02/14,8.7,8.7,8.34,8.49,0
05/02/14,8.26,8.48,8.23,8.46,1
06/02/14,8.4,8.62,8.26,8.48,1
07/02/14,8.45,8.6,8.45,8.5,1
10/02/14,8.72,9.11,8.56,9.02,1
11/02/14,9.0,9.29,8.71,9.29,1
12/02/14,9.02,9.4,8.91,9.3,1
13/02/14,9.25,9.49,9.25,9.485,1
14/02/14,9.46,9.54,9.3,9.46,0
18/02/14,9.33,9.54,9.2,9.28,0
19/02/14,9.21,9.55,9.07,9.49,1
20/02/14,9.46,9.55,9.27,9.34,0
21/02/14,9.39,9.55,9.32,9.42,1
24/02/14,9.5,9.98,9.5,9.91,1
25/02/14,9.91,9.95,9.58,9.95,1
26/02/14,9.98,9.98,9.47,9.5,0
27/02/14,9.5,9.75,9.33,9.39,0
28/02/14,9.36,9.66,9.18,9.55,1
03/03/14,9.48,9.54,9.1,9.45,0
04/03/14,9.28,9.6,9.28,9.5,1
05/03/14,9.47,9.55,9.4,9.5,1
06/03/14,9.5,9.57,9.48,9.55,1
07/03/14,9.65,9.8,9.54,9.68,1
10/03/14,9.55,9.61,9.44,9.5,0
11/03/14,9.44,9.44,8.8,8.95,0
12/03/14,9.01,9.13,8.79,8.9,0
13/03/14,8.77,8.87,7.655,7.71,0
14/03/14,7.91,7.91,6.93,7.26,0
17/03/14,7.48,8.0,7.305,7.95,1
18/03/14,7.96,8.34,7.8,8.32,1
19/03/14,8.35,8.48,8.16,8.41,1
20/03/14,8.69,8.77,8.3,8.31,0
21/03/14,8.16,8.16,7.62,7.62,0
24/03/14,7.71,7.87,7.62,7.8,1
25/03/14,7.88,8.04,7.75,7.83,0
26/03/14,7.73,7.73,7.39,7.47,0
27/03/14,7.51,7.54,7.26,7.41,0
28/03/14,7.42,7.58,7.4,7.4,0
31/03/14,7.34,7.45,7.05,7.05,0
01/04/14,7.43,7.5,7.27,7.27,0
02/04/14,7.29,7.31,7.09,7.155,0
03/04/14,7.13,7.5,6.93,7.5,1
04/04/14,7.56,7.8,7.53,7.58,1
07/04/14,7.41,7.43,7.2,7.33,0
08/04/14,7.32,7.32,7.09,7.26,0
09/04/14,7.24,7.43,7.2,7.355,1
10/04/14,7.34,7.36,7.17,7.29,0
11/04/14,7.18,7.285,7.18,7.245,1
14/04/14,7.26,7.34,7.19,7.22,0
15/04/14,7.24,7.25,6.97,7.12,0
16/04/14,7.12,7.25,7.12,7.245,1
17/04/14,7.2,7.25,7.13,7.24,1
21/04/14,7.21,7.23,7.14,7.2,0
22/04/14,7.15,7.19,7.05,7.19,1
23/04/14,7.19,7.19,7.07,7.07,0
24/04/14,7.03,7.1,7.0,7.03,0
25/04/14,6.97,6.99,6.79,6.91,0
28/04/14,6.83,6.91,6.72,6.75,0
29/04/14,6.8,6.8,6.52,6.65,0
30/04/14,6.66,6.77,6.64,6.72,1
01/05/14,6.71,6.83,6.62,6.78,1
02/05/14,6.77,6.95,6.77,6.83,1
05/05/14,6.79,6.86,6.69,6.82,1
06/05/14,6.82,6.82,6.63,6.67,0
07/05/14,6.64,6.64,6.33,6.38,0
08/05/14,6.31,6.49,6.31,6.365,1
09/05/14,6.43,6.43,6.07,6.09,0
12/05/14,6.14,6.36,6.14,6.34,1
13/05/14,6.29,6.61,6.29,6.54,1
14/05/14,6.4,6.4,6.12,6.23,0
15/05/14,6.25,6.54,6.24,6.49,1
16/05/14,6.43,6.49,6.3,6.46,1
19/05/14,6.45,6.47,6.2,6.26,0
20/05/14,6.2,6.2,5.98,6.11,0
21/05/14,6.18,6.18,5.97,5.99,0
22/05/14,6.01,6.47,5.91,6.4,1
23/05/14,6.3,6.56,6.3,6.545,1
27/05/14,6.64,7.02,6.62,6.97,1
28/05/14,6.84,6.99,6.84,6.975,1
29/05/14,6.88,7.11,6.87,7.1,1
30/05/14,7.03,7.06,6.89,7.03,0
